episode,timesteps,episode_reward,episode_duration,energy_consumed,final_distance,final_speed,remaining_battery,success
50,92324,2331.482986,2000,0.8531770959260649,368.10439825057983,0.02272143494337797,541365.8195783892,0.0
51,94324,1664.219291,2000,0.701782090699939,659.2450886964798,0.0,238574.32744004868,0.0
52,96324,2240.982901,2000,1.1758209192390012,397.0657289028168,0.07747743278741837,511783.7717016918,0.0
53,98324,2428.555453,2000,0.7085361390503102,276.7295837402344,0.0,233171.08875975164,0.0
54,100324,2404.458739,2000,0.6809381979130631,290.15643149614334,0.0,255249.44166954802,0.0
55,102324,2435.777069,2000,0.7051122474805416,273.29038828611374,0.0,235910.20201556812,0.0
56,104324,2421.541589,2000,0.7609922933783517,277.61341631412506,0.0,191206.1652973183,0.0
57,106324,2254.290717,2000,0.4903345879926686,374.7726157307625,0.0,407732.3296058635,0.0
58,108324,1999.468059,2000,0.749372980710004,489.2277270555496,0.0,200501.61543199595,0.0
59,110324,2461.34977,2000,0.6493227278000062,263.29341530799866,1.1620121449232101,280541.81775999547,0.0
60,112324,2470.984996,2000,0.714053091873916,255.23849576711655,0.0,228757.52650086707,0.0
61,114324,2587.619101,2000,1.3852803708995396,213.4469524025917,0.5383091419935226,423486.7910278124,0.0
62,115089,1500.538293,765,1.0015477438669438,526.163712143898,6.536325812339783,0.0,0.0
63,117089,2616.476164,2000,1.2810756803035395,204.30730283260345,0.0,420184.3440393869,0.0
64,119089,2297.529123,2000,0.5888716690740351,348.2250049710274,0.0,328902.6647407711,0.0
65,121089,2398.53706,2000,0.6357052338787508,295.3813299536705,0.0,291435.8128969993,0.0
